Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Attrition
41,3,1102,3,1,2,2,2,3,2,8,4,3,5993,19479,8,2,1,0,8,1,6,4,5,1
49,2,279,2,8,1,2,3,2,2,7,2,2,5130,24907,1,1,4,1,10,3,10,7,7,0
37,3,1373,2,2,2,5,4,2,1,2,3,3,2090,2396,6,2,2,0,7,3,0,0,0,1
33,2,1392,2,3,4,2,4,3,1,7,3,2,2909,23159,1,2,3,0,8,3,8,7,0,0
27,3,591,2,2,1,4,1,3,1,2,2,2,3468,16632,9,1,4,1,6,3,2,2,2,0
32,2,1005,2,2,2,2,4,3,1,2,4,3,3068,11864,0,1,3,0,8,2,7,7,6,0
59,3,1324,2,3,3,4,3,4,1,2,1,2,2670,9964,4,2,1,3,12,2,1,0,0,0
30,3,1358,2,24,1,2,4,3,1,2,3,1,2693,13335,1,1,2,1,1,3,1,0,0,0
38,2,216,2,23,3,2,4,2,3,5,3,3,9526,8787,0,1,2,0,10,3,9,7,8,0
36,3,1299,2,27,3,4,3,3,2,1,3,2,5237,16577,6,1,2,2,17,2,7,7,7,0
35,3,809,2,16,3,4,1,4,1,2,2,2,2426,16479,0,1,3,1,6,3,5,4,3,0
29,3,153,2,15,2,2,4,2,2,2,3,3,4193,12682,0,2,4,0,10,3,9,5,8,0
31,3,670,2,26,1,2,1,3,1,7,3,1,2911,15170,1,1,4,1,5,2,5,2,3,0
34,3,1346,2,19,2,4,2,3,1,2,4,1,2661,8758,0,1,3,1,3,3,2,2,2,0
28,3,103,2,24,3,2,3,2,1,2,3,3,2028,12947,5,2,2,0,6,3,4,2,3,1
29,3,1389,2,21,4,2,2,4,3,5,1,1,9980,10195,1,1,3,1,10,3,10,9,8,0
32,3,334,2,5,2,2,1,4,1,7,2,1,3298,15053,0,2,4,2,7,2,6,2,5,0
22,1,1123,2,16,2,4,4,4,1,2,4,1,2935,7324,1,2,2,2,1,2,1,0,0,0
53,3,1219,3,2,4,2,1,2,4,3,4,2,15427,22021,2,1,3,0,31,3,25,8,7,0
